Date,Open,High,Low,Close,Adj Close,Volume
7/5/2019,134.674957,135.267685,133.757172,135.162521,113.796844,2232896
7/8/2019,134.847031,135.076477,134.101334,134.388138,113.144859,2505484
7/9/2019,134.426392,134.789673,133.011475,133.202682,112.146797,3519999
7/10/2019,133.843216,135.66922,133.642441,134.292542,113.064384,2629539
7/11/2019,134.598465,135.353729,134.13002,135.028687,113.684174,2231013
7/12/2019,135.678772,136.634796,135.430206,136.462708,114.891502,2914365
7/15/2019,136.606125,137.198853,135.86998,137.017212,115.35836,2477242
7/16/2019,136.87381,137.705551,136.730408,137.217972,115.527359,3634536
7/17/2019,137.294449,137.476105,135.707458,136.778198,115.157112,6343258
7/18/2019,136.233276,143.699814,135.946457,143.049713,120.437279,13276460
7/19/2019,143.365204,144.913956,142.973236,143.097519,120.477509,7626072
7/22/2019,143.556412,145.258133,143.116638,143.154877,120.52581,4280860
7/23/2019,143.94838,144.091782,141.854691,143.766724,121.040947,3914341
7/24/2019,143.518158,144.789673,142.638626,143.432129,120.759232,3088210
7/25/2019,143.231354,143.99617,142.07457,143.776291,121.049004,3244797
7/26/2019,144.359467,144.751434,143.499039,144.703629,121.829765,3037898
7/29/2019,144.46463,144.818359,143.709366,144.244736,121.44339,2170973
7/30/2019,143.403442,143.785858,142.657745,143.183563,120.549973,2753804
7/31/2019,143.116638,143.575531,139.952194,141.72084,119.318459,3894153
8/1/2019,142.351822,146.099426,141.969406,143.709366,120.992653,6635824
8/2/2019,142.476105,146.223709,139.187378,140.774384,118.521622,8474378
8/5/2019,138.604202,138.718933,133.030594,134.569794,113.297806,7442185
8/6/2019,135.783936,136.20459,133.183563,134.541107,113.273666,5303952
8/7/2019,132.638626,133.441681,130.411087,132.992355,111.969727,6204767
8/8/2019,132.361374,134.244736,131.701721,133.938812,114.095261,5503111
8/9/2019,133.145309,133.183563,129.397705,130.143402,110.862144,5485852
8/12/2019,129.694077,129.894836,127.323135,127.791588,108.858765,4271759
8/13/2019,127.915871,130.564056,126.969406,129.818359,110.585266,4730117
8/14/2019,128.021027,128.26004,125.219887,125.478012,106.887955,5349453
8/15/2019,125.449333,126.548759,124.521988,126.118546,107.433594,3910889
8/16/2019,127.189293,128.671127,127.103249,127.877632,108.932091,3150552
8/19/2019,128.94838,130.33461,128.94838,129.101334,109.974472,3310695
8/20/2019,129.292542,129.33078,126.969406,127.151054,108.313141,3157456
8/21/2019,129.024857,129.961761,127.915871,128.346085,109.331116,2934762
8/22/2019,128.766724,129.713196,127.92543,128.412994,109.388115,2818865
8/23/2019,127.753349,128.355637,123.164436,123.871895,105.519791,5040046
8/26/2019,125.286804,125.52581,123.479927,124.273422,105.861839,2964259
8/27/2019,125.430206,125.908218,124.579353,125.401527,106.8228,4945488
8/28/2019,124.703636,127.045891,124.32122,126.921608,108.117691,2838426
8/29/2019,128.27916,129.722748,128.145309,128.94838,109.844177,3108503
8/30/2019,129.617584,130.086044,128.451248,129.569794,110.373528,3096788
9/3/2019,128.919693,128.967499,127.466537,128.202682,109.208954,2957983
9/4/2019,129.741867,130.430206,129.206497,130.325043,111.016884,2351303
9/5/2019,132.217972,135.468445,131.978973,134.770554,114.80378,5242134
9/6/2019,135.296371,135.305923,134.28299,134.388138,114.478004,2695333
9/9/2019,134.407272,136.730408,134.28299,136.328873,116.131226,4421024
9/10/2019,136.711288,139.063095,136.673035,138.671127,118.126465,5208766
9/11/2019,138.479919,138.738052,136.434036,137.284897,116.945595,4047706
9/12/2019,137.695984,137.705551,135.640533,137.304016,116.961899,2620648
9/13/2019,137.973236,138.288712,136.959854,137.351822,117.002617,2308104
9/16/2019,136.290634,137.323135,136.013382,136.214142,116.033508,2017211
9/17/2019,136.214142,136.214142,134.474182,135.946457,115.805458,3068127
9/18/2019,135.803055,136.042068,134.33078,135.965576,115.821739,2074846
9/19/2019,136.195023,138.652008,136.185471,136.682602,116.432533,3232035
9/20/2019,136.950287,137.504776,135.583176,135.640533,115.544884,5432296
9/23/2019,134.980881,135.965576,134.378586,135.822174,115.699623,1901523
9/24/2019,136.233276,136.606125,134.86615,135.449326,115.381989,3380254
9/25/2019,135.506699,137.313583,134.66539,136.864243,116.587273,2642928
9/26/2019,136.87381,137.552582,135.191208,137.237091,116.904884,2416051
9/27/2019,138.05928,138.709366,136.118546,136.94072,116.652435,2465213
9/30/2019,137.40918,140.124283,137.40918,139.024857,118.427811,4171866
10/1/2019,139.187378,140.86998,137.227539,137.342255,116.994469,3096997
10/2/2019,135.936905,136.013382,134.388138,135.458893,115.390152,3494477
10/3/2019,135.391968,135.822174,133.05928,135.774384,115.658875,3063525
10/4/2019,135.812622,136.768646,134.827911,136.701721,116.44883,2524626
10/7/2019,136.00383,136.424469,135.009567,135.066925,115.056229,2538119
10/8/2019,134.072662,134.292542,132.170166,132.294449,112.694496,3373768
10/9/2019,133.623322,134.158707,132.686417,133.527725,113.745079,2741357
10/10/2019,133.623322,135.544937,133.422562,134.923523,114.93409,2713010
10/11/2019,136.491394,138.145309,136.338425,136.481842,116.26152,3134653
10/14/2019,136.05162,136.166351,135.105164,135.793503,115.675171,2415737
10/15/2019,136.271515,137.399612,135.573608,136.711288,116.456963,3164673
10/16/2019,136.223709,136.663483,135.172089,135.860428,115.732185,5577900
10/17/2019,129.063095,130.019119,127.06501,128.355637,109.339256,16484751
10/18/2019,128.317398,128.575531,126.434036,128.193115,109.200821,7507665
10/21/2019,126.778206,127.246651,125.143402,126.749519,107.971085,6596181
10/22/2019,126.72084,128.154877,125.822182,128.068832,109.094933,4353034
10/23/2019,127.648186,128.652008,126.864243,128.470367,109.436996,3777001
10/24/2019,128.900574,129.13002,127.437859,128.173996,109.184532,2718031
10/25/2019,128.221802,129.952194,128.202682,129.483749,110.30024,2697739
10/28/2019,130.019119,130.621414,129.493301,129.990433,110.73185,3374501
10/29/2019,129.46463,129.608032,127.571701,127.93499,108.980911,4352092
10/30/2019,127.94455,129.33078,127.342255,129.302109,110.1455,2356638
10/31/2019,129.168259,129.302109,127.370934,127.848946,108.907631,3569057
11/1/2019,128.585083,129.598465,128.193115,129.569794,110.373528,3231931
11/4/2019,130.248566,131.682602,130.238998,131.615677,112.116295,3488828
11/5/2019,131.73996,132.657745,131.577438,131.826004,112.295464,3153690
11/6/2019,131.931168,132.676865,131.500961,132.676865,113.020279,4683256
11/7/2019,131.806885,133.021027,131.529633,131.634796,113.456978,4261195
11/8/2019,131.529633,131.558319,130.172089,131.558319,113.391075,2383206
11/11/2019,131.166351,131.166351,129.063095,129.512421,111.627701,2686128
11/12/2019,129.894836,130.650101,129.082214,129.627151,111.726585,3186639
11/13/2019,129.435944,129.617584,127.963669,128.565964,110.811943,3052646
11/14/2019,128.231354,128.422562,127.466537,128.107071,110.416428,4425940
11/15/2019,128.479919,129.177826,128.135757,128.489487,110.746033,3412575
11/18/2019,128.393875,128.565964,127.370934,128.403442,110.67186,3358078
11/19/2019,128.94838,129.426392,128.546844,128.604202,110.844902,3132770
11/20/2019,128.164429,128.546844,126.912048,127.342255,109.757225,4328557
11/21/2019,127.533463,128.269592,127.131927,127.954109,110.284576,3499184
11/22/2019,128.288712,128.728485,127.715103,128.432129,110.696579,3449185
11/25/2019,128.556412,130.019119,128.441681,129.990433,112.039688,2709245
11/26/2019,130.162521,130.162521,128.843216,129.149139,111.314583,3967687
11/27/2019,129.397705,129.741867,127.74379,127.887192,110.226906,3431821
11/29/2019,127.724663,128.604202,127.179733,128.537292,110.787239,1909264
12/2/2019,128.537292,128.585083,126.653923,127.06501,109.51825,3208187
12/3/2019,126.19503,126.615677,124.942642,126.309753,108.867302,3810055
12/4/2019,127.017204,127.801147,126.156792,126.185471,108.760185,3692380
12/5/2019,127.141495,127.380501,125.841301,126.108986,108.694252,3760788
12/6/2019,126.912048,128.001907,126.864243,127.361374,109.773705,3595625
12/9/2019,127.485657,128.671127,127.39962,128.030594,110.350487,3105051
12/10/2019,128.030594,128.910141,127.686424,128.021027,110.342255,3640498
12/11/2019,128.212234,128.59465,127.791588,127.877632,110.218681,4135152
12/12/2019,127.820267,129.694077,127.782028,129.369019,111.504097,5046009
12/13/2019,128.824097,129.541107,128.116638,128.307846,110.58947,2651610
12/16/2019,129.005737,129.493301,127.963669,128.231354,110.523529,3189463
12/17/2019,128.374756,128.766724,127.59082,128.317398,110.597702,3040931
12/18/2019,128.632889,129.063095,128.250473,128.499039,110.754257,3244483
12/19/2019,128.546844,128.804977,128.288712,128.642441,110.877876,4044359
12/20/2019,129.770554,130.420654,129.015289,129.627151,111.726585,7438943
12/23/2019,129.808792,130.162521,129.063095,129.588913,111.693634,2932147
12/24/2019,129.646271,129.655838,128.690247,129.043976,111.223953,1257397
12/26/2019,129.043976,129.359467,128.728485,128.977051,111.16626,2227666
12/27/2019,129.063095,129.780121,128.938812,129.321228,111.462906,2878801
12/30/2019,129.254303,129.349899,126.673042,126.969406,109.435852,4308369
12/31/2019,126.701721,128.221802,126.577438,128.145309,110.449379,3951265
1/2/2020,129.063095,129.942642,128.843216,129.46463,111.586517,3293436
1/3/2020,127.695984,128.92926,127.686424,128.432129,110.696579,2482890
1/6/2020,127.552582,128.336517,127.342255,128.202682,110.498833,2537073
1/7/2020,127.810707,129.024857,127.533463,128.288712,110.572975,3232977
1/8/2020,128.59465,129.885284,128.030594,129.359467,111.495865,4545916
1/9/2020,129.770554,130.774384,129.359467,130.726578,112.674202,3902208
1/10/2020,130.975143,131.806885,130.315491,130.678772,112.633011,3405148
1/13/2020,129.521988,130.630981,129.13002,130.592728,112.558823,3693426
1/14/2020,130.286804,131.108994,129.588913,129.847031,111.9161,3850326
1/15/2020,130.019119,131.988525,129.741867,130.611862,112.575317,4232011
1/16/2020,131.281067,132.112808,130.984711,131.912048,113.695976,4519661
1/17/2020,130.53537,132.246658,130.172089,132.227539,113.967873,5881972
1/21/2020,131.749527,133.221802,131.548752,133.049713,114.676521,7577329
1/22/2020,137.017212,139.378586,136.281067,137.562134,118.565796,17228038
1/23/2020,137.858505,138.05928,135.898666,136.587006,117.725349,5918059
1/24/2020,137.084137,137.59082,134.28299,134.378586,115.821877,5836889
1/27/2020,132.40918,133.910141,132.026764,132.523895,114.22332,4358264
1/28/2020,133.365204,134.292542,132.648178,133.412994,114.989632,3610374
1/29/2020,133.049713,133.441681,131.548752,131.634796,113.456978,3194275
1/30/2020,130.745697,130.946457,129.034424,130.755264,112.698914,5290563
1/31/2020,136.615677,137.715103,134.598465,137.40918,118.433952,19868352
2/3/2020,137.906311,140.803055,137.571701,139.837479,120.526955,9295488
2/4/2020,141.281067,142.810699,140.420654,142.552582,122.867111,5879566
2/5/2020,143.604202,150.516251,143.546844,149.455063,128.816406,15048593
2/6/2020,149.923523,151.768646,148.585083,149.86615,129.170731,8786923
2/7/2020,147.753342,148.699814,146.195023,146.663483,127.730347,6718876
2/10/2020,146.242828,147.648178,144.913956,147.638626,128.579575,5480831
2/11/2020,148.298279,148.393875,146.013382,146.730408,127.78862,4011515
2/12/2020,146.988525,148.757172,146.768646,148.479919,129.312286,4641939
2/13/2020,147.581268,148.021027,146.663483,147.523895,128.479645,3996452
2/14/2020,147.629059,147.762909,143.183563,144.072662,125.473961,6379763
2/18/2020,143.202682,144.722748,143.05928,144.455063,125.806992,3496778
2/19/2020,144.875717,145.210327,143.699814,144.225616,125.607132,2858613
2/20/2020,144.177826,144.952194,142.934998,144.569794,125.906914,3013003
2/21/2020,144.397705,144.397705,142.294449,143.250473,124.757919,3699597
2/24/2020,139.110901,141.5392,138.986618,139.990433,121.918709,5703210
2/25/2020,140.066925,140.602295,135.047806,135.478012,117.9888,6497229
2/26/2020,136.615677,137.72467,133.4608,133.604202,116.356888,5656663
2/27/2020,131.20459,132.59082,127.160614,127.25621,110.828384,8808471
2/28/2020,124.263863,125.32505,120.803062,124.426384,108.363876,13607832
3/2/2020,125,128.527725,122.323135,128.393875,111.819183,8923844
3/3/2020,128.565964,130.114716,122.179733,123.231361,107.323112,8259321
3/4/2020,125.793503,128.374756,123.326958,128.317398,111.752579,5226234
3/5/2020,124.760994,126.472275,122.801147,123.852776,107.864304,5696725
3/6/2020,121.128105,122.686424,119.043976,122.112808,106.348946,8570192
3/9/2020,114.875717,117.026772,112.122368,112.629066,98.089493,11252345
3/10/2020,117.380501,119.388145,110.669212,119.282982,103.884453,11935592
3/11/2020,115.688339,117.189293,111.261948,112.782028,98.222717,8835039
3/12/2020,104.827919,104.971321,97.782028,98.288719,85.600388,13088284
3/13/2020,103.900574,104.359467,96.376671,103.202675,89.87999,13077197
3/16/2020,93.690247,102.686424,90.822182,94.722755,82.494759,11054128
